OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
1359,2196,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,19363,Ile aux Aigrettes,Indian Ocean - West,Mauritius,Mauritius Islands,-20.41948159,57.73363991,0.262033171,10-Jan
1366,2206,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2010,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Sposimo; Paolo,null,null,240091,Cavalli,Mediterranean,Italy,Sardinian Islands,40.88545601,9.64029431,0.025908736,None
1368,2210,Black Rat,Rattus rattus,Rodent,null,Good,2009,2010,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Sposimo; Paolo,null,null,240072,Piana,Mediterranean,Italy,Sardinian Islands,40.8881109,9.65101208,0.140216565,None
1369,2213,Black Rat,Rattus rattus,Rodent,null,Good,2012,2012,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,356524,Pinzón,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.610869147,-90.66589399,17.82866978,None
1371,2215,Black Rat,Rattus rattus,Rodent,2012,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Unknown,NA,null,null,null,20264,Penguin,Indian Ocean - East,Australia,Western Australia,-32.30548132,115.6907838,0.119366443,None
1378,2248,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1980,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Unknown,NA,null,null,null,420068,Cayo Diablo,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands),18.36252153,-65.53024825,0.073022366,None
1379,2250,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2010,2010,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Ventosa; Eddie,Puerto Rico Department of Natural and Environmental Resources,null,420075,Cardona,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands; Ponce Islands),17.95694812,-66.63516582,0.030620975,None
1394,3159,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Ventosa; Eddie,Puerto Rico Department of Natural and Environmental Resources,null,110000118,Tijeretas II,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands; Parguera Islands),17.96243737,-67.0705494,0.013694772,None
1395,3188,Black Rat,Rattus rattus,Rodent,null,Poor,null,null,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,McMinn M.,null,null,235930,Cabrera Gran,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.14509784,2.9435009,12.03367126,11 - 100
1411,2285,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2008,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Bromadiolone,NA,null,null,null,236134,Imperial,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.12548191,2.95905404,0.027658198,None
1412,2286,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2008,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Bromadiolone,NA,McMinn M.,null,null,236012,Redona,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.1680677,2.97639342,0.117055945,None
1413,2288,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2008,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Bromadiolone,NA,McMinn M.,null,null,236373,Fonoll,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.14828851,2.96372256,0.003890054,None
1417,2293,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2008,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,null,null,null,236376,Esclata-sang,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.1257243,2.94315685,0.007273517,None
1457,2336,Black Rat,Rattus rattus,Rodent,null,Good,2005,2006,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,110000705,Ile aux Rats,Indian Ocean - West,Seychelles,Seychelles,-4.668975736,55.53519976,0.008817824,None
1481,2368,Black Rat,Rattus rattus,Rodent,null,Good,1998,1998,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,null,null,null,110000101,Little Lobster,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.1350651,-61.72887082,0.000495069,None
1495,2382,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,null,null,null,389594,Praslin,Caribbean,Saint Lucia,Lesser Antilles (St. Lucia Islands),13.87521385,-60.88956899,0.009459483,None
1501,2388,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Ventosa; Eddie,Puerto Rico Department of Natural and Environmental Resources,null,110000117,Tijeretas I,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands; Parguera Islands),17.96433357,-67.07104446,0.014986499,None
1503,2391,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Wein; Laurie,Parks Canada,null,183728,Murchison,Pacific Ocean - North East,Canada,British Columbia (Haida Gwaii),52.59349111,-131.4590144,3.999052632,None
1504,2392,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Wein; Laurie,Parks Canada,null,183720,Murchison Passage,Pacific Ocean - North East,Canada,British Columbia (Haida Gwaii),52.59691859,-131.4672777,0.090117572,None
1505,2393,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Wein; Laurie,Parks Canada,null,173926,Faraday,Pacific Ocean - North East,Canada,British Columbia (Haida Gwaii),52.60554761,-131.488335,3.158618849,None
1506,2394,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Wein; Laurie,Parks Canada,null,183727,Little Faraday,Pacific Ocean - North East,Canada,British Columbia (Haida Gwaii),52.61362123,-131.464924,0.025489738,None
1507,2395,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Wein; Laurie,Parks Canada,null,183724,East Murchison,Pacific Ocean - North East,Canada,British Columbia (Haida Gwaii),52.60013813,-131.4334429,0.177867277,None
1519,2416,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,Trapping,NA,Hand Broadcast,NA,Brodifacoum,NA,Lee; Mike,University of Auckland,null,26853,Motukaha,Pacific Ocean - South West,New Zealand,Hauraki Gulf,-36.79511101,174.9857277,0.008389241,None
1586,2504,Black Rat,Rattus rattus,Rodent,null,Poor,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,null,null,null,26997,Papakuri,Pacific Ocean - South West,New Zealand,Broken Islands,-36.22038722,175.288597,0.004352062,None
1596,2824,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2008,2008,Successful,Incursion Response,Toxicant,NA,NA,Unknown,Unknown,Unknown,Unknown,null,null,null,35084,Long Rock,Atlantic Ocean - North,Bermuda,Bermuda (Ruth's Bay),32.35723525,-64.65470183,0.006243349,None
1597,2825,Black Rat,Rattus rattus,Rodent,null,Good,2016,2016,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,Will;David,Island Conservation,null,425054,Desecheo,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands),18.38416819,-67.48055711,1.479418394,None
1599,2827,Black Rat,Rattus rattus,Rodent,null,Good,2012,2016,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Unknown,NA,null,null,null,463848,Pomona,Pacific Ocean - South West,New Zealand,Lake Manapouri,-45.50674923,167.4736057,2.485392892,None
1643,2548,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1966,Successful,Whole Island,Toxicant,NA,NA,Unknown,NA,Unknown,NA,null,null,null,22216,Citadel,Pacific Ocean - South West,Australia,Bass Strait Islands (Wilsons Promontory),-39.11466803,146.236834,0.189272418,None
1684,2602,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,332348,Renewal,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.46828793,115.5472672,0.483090588,None
1686,2605,Black Rat,Rattus rattus,Rodent,null,Good,1997,1997,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,331192,Primrose,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.37210406,115.5170679,0.354323958,None
1699,2621,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Incursion Response,Trapping,NA,NA,NA,NA,NA,NA,null,null,null,26833,Lady Alice (Mauimua),Pacific Ocean - South West,New Zealand,Hen and Chicken Islands,-35.8898964,174.7280744,1.422812343,None
1700,2622,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Incursion Response,Trapping,NA,NA,NA,NA,NA,NA,Hawkins; K.,NZ Dept. of Conservation,null,26862,Whatupuke (Mauiroto),Pacific Ocean - South West,New Zealand,Hen and Chicken Islands,-35.88954011,174.7540295,0.903676672,None
1747,2674,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,Toxicant,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,Unknown,Latofski Mariam,Grupo de Ecología y Conservación de Islas A.C.,http://www.islas.org.mx,394955,Cayo Centro,Caribbean,Mexico,Banco Chinchorro,18.58666374,-87.31998635,5.406436083,11 - 100
1754,2684,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,null,null,null,350252,Ngeriungs,Pacific Ocean - North West,Palau,Kayangel Atoll,8.058650668,134.7111281,0.358839974,None
1756,2691,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,null,null,null,350253,Orak,Pacific Ocean - North West,Palau,Kayangel Atoll,8.03991554,134.6939706,0.010978194,None
1789,2730,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2008,2008,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,NA,Unknown,NA,null,null,null,35020,Nonsuch ,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34736416,-64.66284194,0.070258988,10-Jan
1793,2739,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2007,2009,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,null,null,null,236005,Malgrat gran,Mediterranean,Spain,Balearic Islands (Mallorca Group),39.49819358,2.45062981,0.081653296,None
1794,2740,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2007,2009,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,null,null,null,236227,Malgrat petit,Mediterranean,Spain,Balearic Islands (Mallorca Group),39.50237199,2.45579876,0.010770954,None
1797,2744,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2008,2008,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Unknown,Unknown,null,null,null,236245,Bosc,Mediterranean,Spain,Balearic Islands (Ibiza Group),38.96898284,1.21695843,0.174594375,None
1804,2746,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2007,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,McMinn M.,null,null,235941,Conills (Conillera),Mediterranean,Spain,Balearic Islands (Cabrera Group),39.18349561,2.96416321,1.412355699,None
1805,2747,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2008,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,McMinn M.,null,null,236369,Estell Xapat,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.12526414,2.93953539,0.01222046,None
1814,2757,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Unknown,Unknown,null,null,null,235945,Conillis (Conillera),Mediterranean,Spain,Balearic Islands (Ibiza Group),38.9852825,1.21197903,1.067899856,None
1816,2760,Black Rat,Rattus rattus,Rodent,null,Good,2008,2010,Successful,Whole Island,Toxicant,Trapping,NA,Hand Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19414,Kola Issa,Indian Ocean - West,Mayotte,Mayotte Islands (Ilots d'Hajangoua),-12.83799282,45.23493657,0.060630368,None
1817,2761,Black Rat,Rattus rattus,Rodent,null,Good,2009,2010,Successful,Whole Island,Trapping,NA,NA,NA,NA,NA,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,88888023,Pouhou,Indian Ocean - West,Mayotte,Mayotte Islands,-12.82765992,45.25331897,0.008669675,None
1818,2762,Black Rat,Rattus rattus,Rodent,null,Good,2009,2010,Successful,Whole Island,Toxicant,Trapping,NA,Hand Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19411,Pengoua,Indian Ocean - West,Mayotte,Mayotte Islands (Ilots d'Hajangoua),-12.83902612,45.24637689,0.069503928,None
1819,2764,Black Rat,Rattus rattus,Rodent,null,Good,1997,1997,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,331987,Crocus,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.42250036,115.5257361,0.336516995,None
